91
4.100	21.88
4.150	21.71
4.200	21.60
4.250	21.60
4.300	21.62
4.350 21.60
4.400	21.53
4.450	21.42
4.500	21.30
4.550	21.17
4.600	21.05
4.650	20.94
4.700	20.93
4.750	20.74
4.800	20.66
4.850	20.59
4.900	20.54
4.950	20.50
5.000	20.51
5.050	20.54
5.100	20.55
5.150	20.52
5.200	20.49
5.250	20.48
5.300	20.47
5.350	20.46
5.400	20.50
5.450	20.63
5.500	20.86
5.550	21.06
5.600	21.18
5.650	21.22
5.700	21.22
5.750	21.22
5.800	21.27
5.850	21.38
5.900	21.45
5.950	21.47
6.000	21.48
6.050	21.48
6.100	21.47
6.150	21.46
6.200	21.46
6.250	21.49
6.300	21.57
6.350	21.73
6.400	21.85
6.450	21.95
6.500	22.00
6.550	22.03
6.600	22.07
6.650	22.10
6.700	22.14
6.750	22.17
6.800	22.20
6.850	22.20
6.900	22.18
6.950	22.17
7.000	22.17
7.050	22.20
7.100	22.24
7.150	22.30
7.200	22.35
7.250	22.40
7.300	22.43
7.350	22.46
7.400	22.48
7.450	22.49
7.500	22.50
7.550	22.51
7.600	22.51
7.650	22.51
7.700	22.50
7.750	22.49
7.800	22.48
7.850	22.47
7.900	22.46
7.950	22.45
8.000	22.44
8.050	22.42	
8.100	22.41	
8.150	22.40	
8.200	22.38	
8.250	22.37	
8.300	22.35	
8.350	22.33	
8.400	22.32	
8.450	22.30	
8.500	22.28
