41
4.0000 23.202498
4.1000 22.286354
4.2000 21.787745
4.3000 21.892886
4.4000 22.077584
4.5000 22.101564
4.6000 22.022216
4.7000 21.845852
4.8000 21.615444
4.9000 21.430142
5.0000 21.346058
5.1000 21.363421
5.2000 21.328949
5.3000 21.292340
5.4000 21.300588
5.5000 21.539810
5.6000 21.786469
5.7000 21.846321
5.8000 21.900973
5.9000 21.936781
6.0000 21.936905
6.1000 21.955266
6.2000 21.979854
6.3000 22.082367
6.4000 22.254246
6.5000 22.398475
6.6000 22.473326
6.7000 22.487179
6.8000 22.467844
6.9000 22.454622
7.0000 22.478577
7.1000 22.552177
7.2000 22.653258
7.3000 22.717061
7.4000 22.737295
7.5000 22.730833
7.6000 22.709424
7.7000 22.678993
7.8000 22.645499
7.9000 22.607743
8.0000 22.569168
