91
4.000	23.06
4.050	22.46
4.100	22.17
4.150	21.92
4.200	21.79
4.250	21.8
4.300	21.86
4.350	21.9
4.400	21.88
4.450	21.82
4.500	21.73
4.550	21.63
4.600	21.53
4.650	21.42
4.700	21.32
4.750	21.22
4.800	21.14
4.850	21.07
4.900	21.01
4.950	20.98
5.000	20.99
5.050	21.02
5.100	21.03
5.150	21.01
5.200	20.98
5.250	20.97
5.300	20.96
5.350	20.96
5.400	20.99
5.450	21.13
5.500	21.35
5.550	21.55
5.600	21.66
5.650	21.71
5.700	21.71
5.750	21.71
5.800	21.76
5.850	21.86
5.900	21.93
5.950	21.95
6.000	21.96
6.050	21.96
6.100	21.96
6.150	21.95
6.200	21.94
6.250	21.95
6.300	22.07
6.350	22.2
6.400	22.31
6.450	22.39
6.500	22.44
6.550	22.48
6.600	22.5
6.650	22.53
6.700	22.56
6.750	22.59
6.800	22.6
6.850	22.6
6.900	22.59
6.950	22.57
7.000	22.57
7.050	22.59
7.100	22.62
7.150	22.65
7.200	22.68
7.250	22.7
7.300	22.72
7.350	22.73
7.400	22.73
7.450	22.73
7.500	22.73
7.550	22.72
7.600	22.71
7.650	22.7
7.700	22.68
7.750	22.67
7.800	22.65
7.850	22.64
7.900	22.62
7.950	22.6
8.000	22.58
8.050	22.56
8.100	22.54
8.150	22.53
8.200	22.51
8.250	22.49
8.300	22.47
8.350	22.45
8.400	22.43
8.450	22.4
8.500	22.38
